Date,Price,Open,High,Low,Change %
"Dec 25, 2017",93.35,93.37,93.4,93.19,0.00%
"Dec 26, 2017",93.26,93.25,93.4,93.2,-0.10%
"Dec 27, 2017",93.03,93.3,93.31,92.96,-0.25%
"Dec 28, 2017",92.6,93,93.02,92.57,-0.46%
"Dec 29, 2017",92.12,92.67,92.67,92.08,-0.52%
"Dec 31, 2017",92.28,92.28,92.28,92.28,0.18%
"Jan 01, 2018",92.25,92.29,92.32,92.18,-0.04%
"Jan 02, 2018",91.87,92.24,92.25,91.75,-0.41%
"Jan 03, 2018",92.16,91.82,92.26,91.81,0.32%
"Jan 04, 2018",91.85,92.22,92.26,91.8,-0.34%
"Jan 05, 2018",91.95,91.87,92.1,91.78,0.11%
"Jan 08, 2018",92.36,92.06,92.4,91.88,0.45%
"Jan 09, 2018",92.53,92.34,92.64,92.21,0.18%
"Jan 10, 2018",92.33,92.57,92.57,91.92,-0.22%
"Jan 11, 2018",91.85,92.33,92.55,91.79,-0.52%
"Jan 12, 2018",90.97,91.85,91.88,90.9,-0.96%
"Jan 15, 2018",90.97,90.94,90.94,90.28,0.00%
"Jan 16, 2018",90.39,90.44,90.82,90.34,-0.64%
"Jan 17, 2018",90.54,90.41,91,90.11,0.17%
"Jan 18, 2018",90.5,90.78,90.98,90.41,-0.04%
"Jan 19, 2018",90.57,90.5,90.7,90.16,0.08%
"Jan 22, 2018",90.4,90.44,90.7,90.35,-0.19%
"Jan 23, 2018",90.12,90.39,90.59,90.06,-0.31%
"Jan 24, 2018",89.21,90,90.11,89.16,-1.01%
"Jan 25, 2018",89.39,89.32,89.58,88.44,0.20%
"Jan 26, 2018",89.07,89.4,89.4,88.72,-0.36%
"Jan 29, 2018",89.31,89.11,89.62,89.01,0.27%
"Jan 30, 2018",89.16,89.36,89.64,88.91,-0.17%
"Jan 31, 2018",89.13,89.1,89.3,88.78,-0.03%
"Feb 01, 2018",88.67,89.04,89.33,88.56,-0.52%
"Feb 02, 2018",89.19,88.64,89.42,88.59,0.59%
"Feb 05, 2018",89.55,89.35,89.7,89.02,0.40%
"Feb 06, 2018",89.58,89.66,90.03,89.37,0.03%
"Feb 07, 2018",90.25,89.63,90.4,89.47,0.75%
"Feb 08, 2018",90.23,90.27,90.57,90.01,-0.02%
"Feb 09, 2018",90.44,90.25,90.56,90.12,0.23%
"Feb 12, 2018",90.21,90.35,90.43,90.07,-0.25%
"Feb 13, 2018",89.7,90.09,90.18,89.61,-0.57%
"Feb 14, 2018",89.12,89.69,90.12,88.94,-0.65%
"Feb 15, 2018",88.59,88.96,89,88.54,-0.59%
"Feb 16, 2018",89.1,88.57,89.23,88.25,0.58%
"Feb 19, 2018",89.1,89.1,89.44,88.95,0.00%
"Feb 20, 2018",89.72,89.24,89.8,89.22,0.70%
"Feb 21, 2018",90,89.71,90.16,89.59,0.31%
"Feb 22, 2018",89.74,90.16,90.23,89.64,-0.29%
"Feb 23, 2018",89.88,89.78,90.06,89.76,0.16%
"Feb 26, 2018",89.85,89.96,90.05,89.5,-0.03%
"Feb 27, 2018",90.36,89.8,90.5,89.69,0.57%
"Feb 28, 2018",90.61,90.41,90.7,90.31,0.28%
"Mar 01, 2018",90.32,90.67,90.93,90.21,-0.32%
"Mar 02, 2018",89.94,90.25,90.29,89.88,-0.42%
"Mar 05, 2018",90.08,89.83,90.22,89.83,0.16%
"Mar 06, 2018",89.62,89.96,90.06,89.43,-0.51%
"Mar 07, 2018",89.64,89.51,89.78,89.41,0.02%
"Mar 08, 2018",90.18,89.59,90.23,89.44,0.60%
"Mar 09, 2018",90.09,90.2,90.36,90,-0.10%
"Mar 12, 2018",89.89,90.11,90.19,89.84,-0.22%
"Mar 13, 2018",89.66,89.91,90.11,89.59,-0.26%
"Mar 14, 2018",89.7,89.7,89.89,89.56,0.04%
"Mar 15, 2018",90.14,89.75,90.17,89.62,0.49%
"Mar 16, 2018",90.23,90.14,90.38,89.89,0.10%
"Mar 19, 2018",89.77,90.2,90.34,89.76,-0.51%
"Mar 20, 2018",90.37,89.88,90.44,89.85,0.67%
"Mar 21, 2018",89.78,90.41,90.4,89.63,-0.65%
"Mar 22, 2018",89.86,89.65,89.96,89.4,0.09%
"Mar 23, 2018",89.48,89.67,89.74,89.4,-0.42%
"Mar 26, 2018",89.03,89.47,89.52,88.98,-0.50%
"Mar 27, 2018",89.33,89.02,89.63,88.94,0.34%
"Mar 28, 2018",90.06,89.32,90.15,89.25,0.82%
"Mar 29, 2018",90.15,90.11,90.18,89.9,0.10%
"Mar 30, 2018",89.97,90.1,90.12,89.88,-0.20%
"Apr 02, 2018",90.05,89.97,90.15,89.82,0.09%
"Apr 03, 2018",90.2,90.02,90.28,89.85,0.17%
"Apr 04, 2018",90.14,90.16,90.23,89.92,-0.07%
"Apr 05, 2018",90.46,90.09,90.59,90.07,0.36%
"Apr 06, 2018",90.11,90.38,90.6,90.07,-0.39%
"Apr 09, 2018",89.84,90.07,90.27,89.82,-0.30%
"Apr 10, 2018",89.59,89.83,89.97,89.54,-0.28%
"Apr 11, 2018",89.57,89.58,89.67,89.36,-0.02%
"Apr 12, 2018",89.75,89.52,89.96,89.44,0.20%
"Apr 13, 2018",89.8,89.76,89.88,89.66,0.06%
"Apr 16, 2018",89.42,89.77,89.85,89.39,-0.42%
"Apr 17, 2018",89.52,89.41,89.67,89.23,0.11%
"Apr 18, 2018",89.62,89.5,89.78,89.45,0.11%
"Apr 19, 2018",89.94,89.62,89.95,89.5,0.36%
"Apr 20, 2018",90.32,89.9,90.48,89.89,0.42%
"Apr 23, 2018",90.95,90.35,90.98,90.32,0.70%
"Apr 24, 2018",90.77,90.92,91.08,90.71,-0.20%
"Apr 25, 2018",91.17,90.76,91.26,90.75,0.44%
"Apr 26, 2018",91.56,91.21,91.64,90.96,0.43%
"Apr 27, 2018",91.54,91.56,91.99,91.49,-0.02%
"Apr 30, 2018",91.84,91.53,91.92,91.48,0.33%
"May 01, 2018",92.45,91.81,92.57,91.8,0.66%
"May 02, 2018",92.51,92.47,92.83,92.22,0.06%
"May 03, 2018",92.41,92.72,92.76,92.34,-0.11%
"May 04, 2018",92.57,92.43,92.9,92.35,0.17%
"May 07, 2018",92.75,92.57,92.97,92.45,0.19%
"May 08, 2018",93.12,92.73,93.28,92.65,0.40%
"May 09, 2018",93.04,93.05,93.42,92.84,-0.09%
"May 10, 2018",92.65,93.08,93.16,92.54,-0.42%
"May 11, 2018",92.54,92.69,92.84,92.37,-0.12%
"May 14, 2018",92.59,92.55,92.69,92.24,0.05%
"May 15, 2018",93.22,92.65,93.46,92.61,0.68%
"May 16, 2018",93.39,93.31,93.63,93.14,0.18%
"May 17, 2018",93.47,93.26,93.56,93.12,0.09%
"May 18, 2018",93.64,93.5,93.83,93.34,0.18%
"May 21, 2018",93.68,93.69,94.06,93.51,0.04%
"May 22, 2018",93.61,93.54,93.73,93.29,-0.07%
"May 23, 2018",94,93.55,94.19,93.51,0.42%
"May 24, 2018",93.76,93.9,93.98,93.61,-0.26%
"May 25, 2018",94.19,93.8,94.3,93.75,0.46%
"May 28, 2018",94.19,94.25,94.5,93.86,0.00%
"May 29, 2018",94.83,94.41,95.03,94.28,0.68%
"May 30, 2018",94.15,94.82,94.97,94.04,-0.72%
"May 31, 2018",93.98,94.07,94.25,93.72,-0.18%
"Jun 01, 2018",94.19,93.95,94.45,93.88,0.22%
"Jun 04, 2018",94.02,94.16,94.19,93.66,-0.18%
"Jun 05, 2018",93.9,94.06,94.32,93.78,-0.13%
"Jun 06, 2018",93.66,93.88,93.89,93.42,-0.26%
"Jun 07, 2018",93.4,93.58,93.59,93.21,-0.28%
"Jun 08, 2018",93.55,93.44,93.82,93.39,0.16%
"Jun 11, 2018",93.58,93.54,93.68,93.37,0.03%
"Jun 12, 2018",93.8,93.67,93.91,93.47,0.24%
"Jun 13, 2018",93.71,93.83,94.03,93.52,-0.10%
"Jun 14, 2018",94.77,93.5,94.93,93.19,1.13%
"Jun 15, 2018",94.79,94.91,95.13,94.65,0.02%
"Jun 18, 2018",94.8,94.79,95.05,94.7,0.01%
"Jun 19, 2018",95.08,94.63,95.3,94.53,0.30%
"Jun 20, 2018",95.06,94.97,95.3,94.92,-0.02%
"Jun 21, 2018",94.74,95.13,95.53,94.68,-0.34%
"Jun 22, 2018",94.52,94.86,94.88,94.43,-0.23%
"Jun 25, 2018",94.28,94.5,94.7,94.21,-0.25%
"Jun 26, 2018",94.66,94.29,94.77,94.17,0.40%
"Jun 27, 2018",95.27,94.67,95.42,94.53,0.64%
"Jun 28, 2018",95.39,95.27,95.53,95.09,0.13%
"Jun 29, 2018",94.64,95.3,95.32,94.47,-0.79%
"Jul 02, 2018",95.03,94.63,95.14,94.53,0.41%
"Jul 03, 2018",94.67,94.84,94.98,94.56,-0.38%
"Jul 04, 2018",94.67,94.52,94.71,94.4,0.00%
"Jul 05, 2018",94.47,94.51,94.59,94.18,-0.21%
"Jul 06, 2018",94.04,94.36,94.49,93.92,-0.46%
"Jul 09, 2018",94.08,93.97,94.21,93.71,0.04%
"Jul 10, 2018",94.15,94.06,94.47,94.02,0.07%
"Jul 11, 2018",94.72,94.2,94.77,94.09,0.61%
"Jul 12, 2018",94.81,94.7,94.94,94.64,0.10%
"Jul 13, 2018",94.75,94.89,95.24,94.67,-0.06%
"Jul 16, 2018",94.51,94.69,94.77,94.41,-0.25%
"Jul 17, 2018",94.94,94.55,95.06,94.3,0.45%
"Jul 18, 2018",95.08,95.03,95.41,94.96,0.15%
"Jul 19, 2018",95.15,95.08,95.65,94.93,0.07%
"Jul 20, 2018",94.45,95.13,95.28,94.36,-0.74%
"Jul 23, 2018",94.67,94.43,94.72,94.21,0.23%
"Jul 24, 2018",94.61,94.67,94.86,94.4,-0.06%
"Jul 25, 2018",94.36,94.59,94.67,94.14,-0.26%
"Jul 26, 2018",94.75,94.16,94.8,94.08,0.41%
"Jul 27, 2018",94.67,94.76,94.91,94.63,-0.08%
"Jul 30, 2018",94.32,94.66,94.76,94.26,-0.37%
"Jul 31, 2018",94.49,94.33,94.57,94.16,0.18%
"Aug 01, 2018",94.62,94.56,94.71,94.49,0.14%
"Aug 02, 2018",95.16,94.63,95.19,94.61,0.57%
"Aug 03, 2018",95.14,95.18,95.37,94.98,-0.02%
