Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2023-12-01,446.8364507959776,450.64040378256834,446.23842175479484,450.1011962890625,89097900,1,4,48,12,2023
2023-12-04,446.66983293399846,450.12082697175777,445.43452050211266,447.73846435546875,72430900,4,0,49,12,2023
2023-12-05,446.33650682465384,448.62082357838926,445.9541368117821,447.6502380371094,69793500,5,1,49,12,2023
2023-12-06,449.8168563668903,449.8462671396938,445.4050609299513,445.84625244140625,69124700,6,2,49,12,2023
2023-12-07,447.9541265914232,449.90511109651214,447.34628397693746,449.2482604980469,66995400,7,3,49,12,2023
2023-12-08,448.4933735629774,451.71889504884473,448.2482737827013,451.1796875,83080900,8,4,49,12,2023
2023-12-11,450.6796339862187,453.1110343596532,450.46394500212847,452.9345397949219,65002200,11,0,50,12,2023
2023-12-12,452.5816174993822,455.1012502344239,451.5718076763078,455.0032043457031,68327600,12,1,50,12,2023
2023-12-13,455.3855327740707,461.5326537987916,455.02278992254185,461.2777404785156,93278000,13,2,50,12,2023
2023-12-14,463.23850358677385,464.44440506550814,460.05220700125636,462.75811767578125,119026000,14,3,50,12,2023
2023-12-15,462.1536887302671,463.3448027683504,460.12588091693294,461.9961853027344,141319300,15,4,50,12,2023
2023-12-18,463.62045011337096,465.5891979977767,462.54748612125485,464.594970703125,70375300,18,0,51,12,2023
2023-12-19,465.14620364597755,467.4988717162607,465.0674669508934,467.42010498046875,55761800,19,1,51,12,2023
2023-12-20,466.55387622478094,468.46356412089403,460.5098356984561,460.9429626464844,102921000,20,2,51,12,2023
2023-12-21,463.9649810278423,465.5892221492984,461.5138993976389,465.3135986328125,86667500,21,3,51,12,2023
2023-12-22,466.4554283810848,467.9516960202922,464.3292070719011,466.24871826171875,67126600,22,4,51,12,2023
2023-12-26,466.6621706221802,469.13292883513145,466.5834038825501,468.21746826171875,55387000,26,1,52,12,2023
2023-12-27,468.0107690245804,469.21170648583774,467.469375350048,469.0640563964844,68000300,27,2,52,12,2023
2023-12-28,469.42824438739393,470.08775809747596,468.81793735751205,469.2412109375,77158100,28,3,52,12,2023
2023-12-29,469.04433603914117,469.5759063860518,465.90418072054433,467.8827819824219,122234100,29,4,52,12,2023
2024-01-02,464.7820401233181,466.26845450409985,463.1381222947102,465.2643737792969,123623700,2,1,1,1,2024
2024-01-03,463.0790488844653,463.82718272985784,460.8543840948513,461.4646911621094,103585900,3,2,1,1,2024
2024-01-04,460.9823221278168,463.60076051558326,459.7518546546583,459.978271484375,84232200,4,3,1,1,2024
2024-01-05,460.1849727336451,463.0888879305801,459.1415387397865,460.6082763671875,86060800,5,4,1,1,2024
2024-01-08,461.1102982251427,467.3315490152744,460.9823248006786,467.18389892578125,74879100,8,0,2,1,2024
2024-01-09,464.4965269385166,467.5087087960516,463.9846633036254,466.4751281738281,65931400,9,1,2,1,2024
2024-01-10,466.75075924281816,469.98935797404295,466.46528238377533,469.1132507324219,67310600,10,2,2,1,2024
2024-01-11,470.12713871081326,470.6488556888523,464.88043891433455,468.9065246582031,77940700,11,3,2,1,2024
2024-01-12,470.3732311137583,471.12136490723475,467.8040295978058,469.2313537597656,57944000,12,4,2,1,2024
2024-01-16,467.8335577253936,469.1624384816832,465.66792309023396,467.5086975097656,85014900,16,1,3,1,2024
2024-01-17,464.4473466816844,465.40219066082915,462.5278053703932,464.9100036621094,68843900,17,2,3,1,2024
2024-01-18,466.60311382829445,469.6054424121173,465.0379628252551,469.0443420410156,91856200,18,3,3,1,2024
2024-01-19,470.18620380449687,475.17698686216823,469.0935631567449,474.8915100097656,110733300,19,4,3,1,2024
2024-01-22,476.4468463753925,477.6379304465511,475.23605559912966,475.8955993652344,75844900,22,0,4,1,2024
